,LBS_CO2_PER_KWH,Solar Thermal and Photovoltaic,Wind,Other Biomass,Coal,Nuclear,Wood and Wood Derived Fuels,Hydroelectric Conventional,Other Gases,Other,Natural Gas,Petroleum,Geothermal,Total
VT,0.005,0.082,0.16,0.029,0.0,0.0,0.207,0.518,0.0,0.001,0.001,0.001,0.0,0.999
WA,0.202,0.0,0.084,0.001,0.028,0.077,0.013,0.644,0.002,0.001,0.15,0.0,0.0,1.0
ID,0.275,0.034,0.159,0.006,0.001,0.0,0.023,0.475,0.0,0.004,0.293,0.0,0.006,1.001
SD,0.285,0.0,0.538,0.0,0.095,0.0,0.001,0.288,0.0,0.0,0.076,0.002,0.0,0.9999999999999999
NH,0.288,0.0,0.029,0.008,0.017,0.573,0.046,0.06,0.0,0.003,0.26,0.004,0.0,1.0
OR,0.318,0.024,0.154,0.005,0.0,0.0,0.011,0.453,0.0,0.001,0.349,0.0,0.003,1.0
ME,0.34,0.014,0.233,0.009,0.005,0.0,0.171,0.233,0.0,0.025,0.307,0.003,0.0,1.0
NY,0.437,0.009,0.033,0.012,0.0,0.25,0.004,0.23,0.0,0.008,0.452,0.006,0.0,1.004
CA,0.461,0.177,0.077,0.013,0.001,0.084,0.014,0.074,0.007,0.003,0.494,0.0,0.056,1.0
NJ,0.495,0.022,0.0,0.012,0.017,0.458,0.0,0.0,0.001,0.01,0.481,0.001,0.0,1.0019999999999998
CT,0.542,0.006,0.0,0.011,0.006,0.391,0.006,0.011,0.0,0.013,0.556,0.001,0.0,1.001
